name                    , dar, season   , category    , valid_from         , valid_to
Lenzuola singole        , 5  , 4Stagioni, Unisex Adult, 1900-01-01 00:00:00, 2100-01-01 00:00:00
Lenzuola                , 3  , 4Stagioni, Unisex baby , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Lenzuola                , 3  , 4Stagioni, Unisex child, 1900-01-01 00:00:00, 2100-01-01 00:00:00
Federe                  , 2  , 4Stagioni, Unisex Adult, 1900-01-01 00:00:00, 2100-01-01 00:00:00
Borse piccole           , 4  , 4Stagioni, Unisex Adult, 1900-01-01 00:00:00, 2100-01-01 00:00:00
Borse grandi            , 6  , 4Stagioni, Unisex Adult, 1900-01-01 00:00:00, 2100-01-01 00:00:00
Zaini                   , 8  , 4Stagioni, Unisex Adult, 1900-01-01 00:00:00, 2100-01-01 00:00:00
Valige - borsoni        , 10 , 4Stagioni, Unisex Adult, 1900-01-01 00:00:00, 2100-01-01 00:00:00
Intimo                  , 2  , 4Stagioni, Uomo        , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Intimo                  , 2  , 4Stagioni, Donna       , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Intimo                  , 1  , 4Stagioni, Unisex Child, 1900-01-01 00:00:00, 2100-01-01 00:00:00
Intimo                  , 1  , 4Stagioni, Unisex Baby , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Collant                 , 2  , 4Stagioni, Donna       , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Collant                 , 2  , Inverno  , Donna       , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Asciugamani piccoli/medi, 3  , 4Stagioni, Unisex Adult, 1900-01-01 00:00:00, 2100-01-01 00:00:00
Asciugamani grandi      , 7  , 4Stagioni, Unisex Adult, 1900-01-01 00:00:00, 2100-01-01 00:00:00
Sopra leggero           , 5  , 4Stagioni, Donna       , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Sopra leggero           , 5  , 4Stagioni, Uomo        , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Sopra leggero           , 5  , Estate   , Donna       , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Maglioni                , 5  , Inverno  , Donna       , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Maglioni                , 5  , Inverno  , Uomo        , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Sport                   , 4  , Inverno  , Uomo        , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Sport                   , 4  , Inverno  , Donna       , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Sport                   , 4  , 4Stagioni, Donna       , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Sport                   , 4  , 4Stagioni, Uomo        , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Sport                   , 1  , 4Stagioni, Unisex child, 1900-01-01 00:00:00, 2100-01-01 00:00:00
Felpe                   , 5  , 4Stagioni, Donna       , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Felpe                   , 5  , 4Stagioni, Uomo        , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Felpe                   , 5  , Inverno  , Uomo        , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Felpe                   , 5  , Inverno  , Donna       , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Gonne                   , 3  , Inverno  , Donna       , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Gonne                   , 3  , 4Stagioni, Donna       , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Gonne                   , 3  , Estate   , Donna       , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Completo elegante       , 5  , 4Stagioni, Donna       , 1900-01-01 00:00:00, 2100-01-01 00:00:00
Completo elegante       , 5  , 4Stagioni, Uomo        , 1900-01-01 00:00:00, 2100-01-01 00:00:00
